first_author,year,date,journal,disease,url,pmid,brain_region,enriched,n_cells,n_subjects,n_controls,n_cases,notes
Kousi,2022,4/22/2022,bioRxiv,Alzheimer's Disease,https://www.biorxiv.org/content/10.1101/2022.04.21.489103v1.full,,Prefrontal Cortex,,4014,36,17,19,The current link is the preprint
Kumar,2022,6/23/2022,Nature Neuroscience,Epilepsy,https://pmc.ncbi.nlm.nih.gov/articles/PMC9276529/,35739273,Various,,85780,6,0,6,No controls
Lau,2020,9/28/2020,Proceedings of the National Academy of the Sciences,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/32989152/,32989152,Prefrontal Cortex,,169496,21,9,12,
Lee,2023,4/14/2023,Science Advances,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/37058563/,37058563,Substantia Nigra,,113207,12,6,6,
Lee,2024,11/4/2024,medRxiv,Cross-Disorder (Neurodegenerative and Psychiatric),https://www.medrxiv.org/content/10.1101/2024.10.31.24316513v1.full-text,,Prefrontal Cortex,,6320459,1160,319,841,"AD, DLBD, VD, PD, FTD, SCZ, BD, Tau. This is a preprint; the PsychAD project. Some of the participants had two diagnoses. There were 1464 participants, but this was subset to 1160 people with minimal comorbidity (ie, no crossover in diseases) and at least 17 y.o"
Leng,2021,1/11/2021,Nature Neuroscience,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/33432193/,33432193,"Caudal Entorhinal Cortex, Superior Frontal Gyrus",,100000,10,0,10,"There were no controls in this. Only used males, that were homozygous for APOE epsilon-3"
Lerma-Martin,2024,11/5/2024,Nature Neuroscience,Multiple Sclerosis,https://pubmed.ncbi.nlm.nih.gov/39501036/,39501036,Subcortex,,103794,19,7,12,"8 MS-CA (chronic active lesions), 4 MS-CI (chronic inactive lesions)"
Li,2023,9/15/2023,Nature Communications,Cross-Disorder (Neurodegenerative),https://pubmed.ncbi.nlm.nih.gov/37714849/,37714849,"Motor Cortex, Frontal Cortex",,105120,17,6,11,"ALS, FTD. 6 ALS, 5 FTD. performed sc transcriptomics and epigenomics"
Limone,2024,6/21/2024,Nature Aging,Amyotrophic Lateral Sclerosis,https://pubmed.ncbi.nlm.nih.gov/38907103/,38907103,"Motor Cortex, Premotor Cortex",Grey Matter,79169,8,3,5,
Ling,2024,3/6/2024,Nature,Schizophrenia,https://pubmed.ncbi.nlm.nih.gov/38448582/,38448582,Prefrontal Cortex,,1217965,191,97,94,
Macnair,2024,12/20/2024,Neuron,Multiple Sclerosis,https://pubmed.ncbi.nlm.nih.gov/39708806/,39708806,Various,,632000,82,28,54,
Marinaro,2020,7/14/2020,bioRxiv,Alzheimer's Disease,https://www.biorxiv.org/content/10.1101/2020.07.14.202317v1.full,,Prefrontal Cortex,,89325,16,8,8,The current link is the preprint
Martirosyan,2024,1/20/2024,Molecular Neurodegeneration,Parkinson's Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC10799528/,38245794,Substantia Nigra,,83484,29,14,15,
Mathys,2019,5/1/2019,Nature,Alzheimer's Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC6865822/,31042697,Prefrontal Cortex,,80660,48,24,24,
Mathys,2023,9/28/2023,Cell,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/37774677/,37774677,Prefrontal Cortex,,2359994,427,,,"Participants existed on a gradient of level of AD, and level of cognitive impariment"
Mathys,2024,7/24/2024,Nature,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/39048816/,39048816,"Entorhinal Cortex, Hippocampus, Anterior Thalamus, Angular Gyrus, Midtemporal Cortex, Prefrontal Cortex",,1350000,48,22,26,
Matira,2023,5/22/2023,Nature Communications,Major Depressive Disorder,https://pubmed.ncbi.nlm.nih.gov/37217515/,37217515,Prefrontal Cortex,,160711,38,18,20,All female participants
Miyoshi,2024,11/22/2024,Nature Genetics,Cross-Disorder (Neurodegenerative),https://pubmed.ncbi.nlm.nih.gov/39578645/,39578645,"Frontal Cortex, Posterior Cingulate Cortex",,585042,146,54,92,"DSAD, ESAD, LSAD. This snRNA-seq study contained 27 original controls and 21 original DSAD. It also integrated 27 more controls, 23 early-stage AD, and 48 late-stage AD from 3 other studies (Morabilo 2021, Mathys 2019, Zhou 2020). This study also separately did spatial transcriptomics."
Morabito,2021,7/8/2021,Nature Genetics,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/34239132/,34239132,Prefrontal Cortex,,191890,20,8,12,
Nagy,2020,4/27/2020,Nature Neuroscience,Major Depressive Disorder,https://pubmed.ncbi.nlm.nih.gov/32341540/,32341540,Prefrontal Cortex,,78886,34,17,17,
Olah,2020,11/30/2020,Nature Communications,Cross-Disorder (Neurodegenerative),https://pubmed.ncbi.nlm.nih.gov/33257666/,33257666,Prefrontal Cortex,,16242,17,0,17,"TLE, MCI, AD. 3 TLE, 4 MCI, 10 AD. No controls"
Otero-Garcia,2022,9/21/2022,Neuron,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/35882228/,35882228,Prefrontal Cortex,,137408,12,4,8,
Pfisterer,2020,10/7/2020,Nature Communications,Epilepsy,https://pmc.ncbi.nlm.nih.gov/articles/PMC7541486/,33028830,Temporal Cortex,,101962,19,10,9,See table S1 for patient information
Pineda,2024,4/11/2024,Cell,Cross-Disorder (Neurodegenerative),https://pubmed.ncbi.nlm.nih.gov/38521060/,38521060,"Primary Motor Cortex, Prefrontal Cortex",,625973,73,16,57,"ALS, FTLD. 33 ALS, 24 FTLD, 16 controls"
Prashant,2024,11/23/2024,Scientific Data,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/39580497/,39580497,"Dorsal Motor Nucleus of the Vagus, Globus Pallidus, Motor Cortex, Prefrontal Cortex, Visual Cortex",,2232626,100,25,75,
Reiner,2021,10/11/2021,European Neuropsychopharmacology,Schizophrenia,https://www-sciencedirect-com.myaccess.library.utoronto.ca/science/article/pii/S0924977X21006337,,Prefrontal Cortex,,275000,26,14,12,Published date is claimed to be October 11-15 2021
Renthal,2018,11/19/2018,Nature Neuroscience,Rett Syndrome,https://pubmed.ncbi.nlm.nih.gov/30455458/,30455458,Occipital Cortex,,43558,3,0,3,No controls. There were also experiments on mouse models
Rexach,2024,10/3/2024,Cell,Cross-Disorder (Neurodegenerative),https://pubmed.ncbi.nlm.nih.gov/39265576/,39265576,"Motor Cortex, Insular Cortex, Visual Cortex",,590000,41,10,31,"AD, FTD, PSP. Is cross-disease; 880000 snRNA profiles before QC. 10 had bvFTD and Pick's disease, 10 with AD-type dementia, 11 with PSP-RS, 10 controls"
Ruzicka,2020,11/9/2020,medRxiv,Schizophrenia,http://medrxiv.org/lookup/doi/10.1101/2020.11.06.20225342,,Prefrontal Cortex,,560020,48,24,24,The current link is the preprint
Ruzicka,2024,5/24/2024,Science,Schizophrenia,https://pubmed.ncbi.nlm.nih.gov/38781388/,38781388,Prefrontal Cortex,,468727,140,75,65,This combines two cohorts: McLean and Mount Sinai
Sadick,2022,6/1/2022,Neuron,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/35381189/,35381189,????,,80247,15,0,15,"Chose individuals with APOEepsilon2/3 genotype, as they have a low risk of contracting AD compared to APOEepsilon4. Is number of AD vs normal even specified here?"
Sayed,2021,12/1/2021,Science Translational Medicine,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/34851693/,34851693,Mid-Frontal Cortex,,263672,46,0,46,"From individuals with AD carrying the R47H mutation or the common variant (24 R47H, 22 CV)"
Schirmer,2019,7/17/2019,Nature,Multiple Sclerosis,https://pubmed.ncbi.nlm.nih.gov/31316211/,31316211,Various,,48919,21,9,12,
Serrano-Pozo,2024,11/11/2024,Nature Neuroscience,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/39528672/,39528672,"Entorhinal Cortex, Inferior Temporal Gyrus, Prefrontal Cortex, Secondary Visual Cortex, Primary Visual Cortex",Astrocytes,628943,32,,,Individuals along gradient from normal aging to severe AD
Shwab,2024,7/2/2024,Acta Neuropathological Communications,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/38956662/,38956662,Temporal Cortex,,208081,24,12,12,Looked at transcriptomic and chromatin accessibility sc profiles
Smajic,2021,12/17/2021,Brain,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/34919646/,34919646,Ventral Midbrain,,41435,11,6,5,
Smith,2021,11/12/2021,Acta Neuropathologica,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/34767070/,34767070,"Entorhinal Cortex, Somatosensory Cortex","Astrocytes, Microglia",80298,12,6,6,
Sorrells,2019,6/21/2019,Nature Communications,Autism Spectrum Disorder,https://pmc.ncbi.nlm.nih.gov/articles/PMC9289873/,31227709,Amygdala,,13289,10,5,5,"See table S2 for individuals and their case/control. Technically ASD, but they really seemed more concerned about devlelopment over pathology"
Tuddenham,2024,10/14/2024,Nature Neuroscience,Cross-Disorder (Neurodegenerative),https://pubmed.ncbi.nlm.nih.gov/39406950/,39406950,"Anterior Watershed White Matter, Frontal Cortex, Primary Motor Cortex, Temporal Cortex, Occipital Cortex, Hippocampus, Thalamus, Substantia Nigra, Facial Motor Nucleus, Spinal Cord",Microglia,215680,74,1,73,"ESAD, LSAD, MCI, ALS, FTD, PD, PSP, DLBD, MS, HD, Stroke, TLE. Only microglia; used BA9 (frontal cortex) as the reference area where possible. 35 LOAD, 2 EOAD, 4 MCI, 9 ALS, 2 ALS/FTD, 1 FTD, 5 DLBD-PD, 3 PSP, 7 TLE, 2 MS, 1 HD, 1 stroke leson, 1 DNET, 1 control"
Velmeshev,2019,5/17/2019,Science,Autism Spectrum Disorder,https://pubmed.ncbi.nlm.nih.gov/31097668/,31097668,"Prefrontal Cortex, Anterior Cingulate Cortex",,104559,31,16,15,
Wang,2024,1/10/2024,Science Advances,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/38198537/,38198537,Substantia Nigra,,315867,32,9,23,"(Recall that in PD, there is loss of dopaminergic neurons in the substantia nigra)"
Wang,2024,6/13/2024,bioRxiv,Cross-Disorder (Neurodegenerative),https://pmc.ncbi.nlm.nih.gov/articles/PMC9882184/,36711601,Prefrontal Cortex,,88205,26,7,19,The current link is the preprint
Yang,2021,6/21/2021,Nature,COVID-19,https://pubmed.ncbi.nlm.nih.gov/34153974/,34153974,"Frontal Cortex, Choroid Plexus",,65309,22,14,8,
Yang,2022,2/14/2022,Nature,Alzheimer's Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC9635042/,35165441,"Hippocampus, Cortex",,143793,17,8,9,
Zhang,2024,5/28/2024,Journal of Neuroinflammation,Perihematomal Edema,https://pubmed.ncbi.nlm.nih.gov/38807233/,38807233,Patients' Perihematomal Regions,,31722,9,,9,"Perihematomal edema is after post-intracerebral hemorrhage in basal ganglia. Patients were split into 3 groups of 3 people each, divided based on time since their intracerebral hemorrhage. I dont know how there is a range of how many cells they still had after QC, maybe look into this."
Zhou,2020,1/13/2020,Nature Medicine,Alzheimer's Disease,https://pmc.ncbi.nlm.nih.gov/articles/PMC6980793/,31932797,Prefrontal Cortex,,66311,32,11,21,"There were some experiments for mice, but the numbers listed are for humans. Alzheimer's Disease: 11 AD with a common variant of TREM2, 10 AD with the R62H variant"
Zhu,2024,10/30/2024,Science Translational Medicine,Parkinson's Disease,https://pubmed.ncbi.nlm.nih.gov/39475571/,39475571,Prefrontal Cortex,,77384,12,6,6,
Zou,2024,2/5/2024,Pharmacological Research,Alzheimer's Disease,https://pubmed.ncbi.nlm.nih.gov/38325728/,38325728,"Prefrontal Cortex, Internal Olfactory Cortex, Superior Parietal Lobe, Superior Frontal Gyrus, Caudal Internal Olfactory Cortex, Somatosensory Cortex, Hippocampus, Superior Frontal Cortex, Peripheral Blood Mononuclear Cells",,911548,168,83,85,This also used some of Mathys 2019's data
